student_id,school_id,school_name,state,municipality,year,grade_level,age,gender,socio_economic_class,parent_education,family_income_R$,previous_repeat,attendance_rate,avg_score,special_needs,household_size,urban_rural,teacher_student_ratio,infrastructure_score,dropped_out,dropout_date
ST000012,S0162,Escola 162,RS,Caxias do Sul,2023,5º Ano EF,10,O,Média,Médio,13238,0,0.827,97.7,0,6,Urbano,0.037,81.8,0,
ST000013,S0178,Escola 178,CE,Juazeiro do Norte,2020,1º Ano EF,8,M,Média,Fundamental Completo,3214,0,0.951,81.6,0,4,Urbano,0.047,91.8,0,
ST000014,S0047,Escola 47,PA,Santarém,2019,3º Ano EF,7,M,Alta,Médio,4631,0,0.829,76.4,0,3,Urbano,0.071,63.1,0,
ST000015,S0066,Escola 66,BA,Ilhéus,2021,5º Ano EF,12,F,Alta,Médio,3435,0,0.889,80.0,0,3,Rural,0.082,90.3,0,
ST000016,S0151,Escola 151,PA,Belém,2020,2º Ano EM,16,F,Média,Médio,20106,0,0.948,83.6,1,6,Urbano,0.045,73.8,1,2020-08-14
ST000017,S0147,Escola 147,AM,Manacapuru,2020,1º Ano EM,15,M,Média,Fundamental Incompleto,3428,0,0.925,64.2,0,2,Rural,0.074,51.4,0,
ST000018,S0200,Escola 200,PA,Belém,2023,1º Ano EF,6,F,Média,Superior,10597,1,0.827,91.7,0,3,Rural,0.043,52.9,0,
ST000019,S0057,Escola 57,MG,Ouro Preto,2023,4º Ano EF,8,F,Média,Médio,6995,0,0.94,60.7,0,4,Rural,0.035,57.4,1,2023-02-21
ST000020,S0080,Escola 80,SP,São Paulo,2024,8º Ano EF,14,M,Baixa,Fundamental Incompleto,1671,1,0.626,42.7,0,4,Urbano,0.078,40.2,1,2024-11-03
ST000021,S0094,Escola 94,BA,Feira de Santana,2022,9º Ano EF,15,F,Média,Fundamental Completo,5910,0,0.977,79.4,0,5,Urbano,0.034,65.1,0,
ST000022,S0087,Escola 87,RJ,Campos,2024,2º Ano EF,7,M,Baixa,Superior,1442,0,0.595,39.7,0,5,Urbano,0.082,83.7,1,2024-11-12
ST000023,S0094,Escola 94,BA,Feira de Santana,2018,7º Ano EF,12,M,Média,Médio,4353,0,0.905,86.5,0,4,Rural,0.034,65.1,0,
ST000024,S0096,Escola 96,RS,Pelotas,2018,2º Ano EM,15,M,Baixa,Superior,2584,0,0.721,72.0,0,3,Urbano,0.048,48.0,0,
ST000025,S0119,Escola 119,PR,Maringá,2023,5º Ano EF,11,F,Baixa,Fundamental Incompleto,1833,0,0.743,56.0,1,3,Urbano,0.082,87.1,0,
ST000026,S0138,Escola 138,RS,Porto Alegre,2019,7º Ano EF,15,M,Média,Superior,9313,1,0.745,53.3,0,5,Urbano,0.072,65.2,1,2019-09-01
ST000027,S0168,Escola 168,AM,Parintins,2018,8º Ano EF,15,F,Alta,Fundamental Completo,13030,0,0.964,87.4,0,4,Urbano,0.078,98.5,0,
ST000028,S0093,Escola 93,PA,Marabá,2018,2º Ano EM,14,M,Alta,Médio,8060,0,0.774,100.0,0,7,Rural,0.076,59.5,0,
ST000029,S0117,Escola 117,PR,Foz do Iguaçu,2018,2º Ano EM,14,M,Média,Pós-graduação,4053,0,0.949,61.5,0,7,Urbano,0.037,69.5,0,
ST000030,S0053,Escola 53,MG,Ouro Preto,2018,9º Ano EF,13,M,Baixa,Superior,2496,0,0.759,71.1,0,6,Urbano,0.052,59.8,1,2018-04-16
ST000031,S0034,Escola 34,PR,Curitiba,2022,5º Ano EF,7,F,Baixa,Superior,949,0,0.67,54.8,0,5,Urbano,0.054,54.1,0,
ST000032,S0005,Escola 5,PR,Foz do Iguaçu,2019,5º Ano EF,6,M,Média,Médio,12607,0,0.899,69.9,0,5,Urbano,0.061,66.5,0,
ST000033,S0028,Escola 28,PA,Marabá,2021,9º Ano EF,14,M,Média,Médio,2992,1,0.906,83.0,0,4,Urbano,0.08,75.6,0,
ST000034,S0008,Escola 8,RJ,Petrópolis,2018,8º Ano EF,10,F,Baixa,Fundamental Incompleto,1331,0,0.696,64.9,0,6,Urbano,0.079,81.5,0,
ST000035,S0038,Escola 38,PR,Londrina,2018,3º Ano EF,8,M,Média,Médio,4952,0,0.927,58.4,1,4,Urbano,0.053,40.6,0,
ST000036,S0155,Escola 155,RJ,Campos,2021,2º Ano EF,11,F,Baixa,Médio,2818,1,0.64,75.9,0,6,Urbano,0.037,74.4,1,2021-05-28
ST000037,S0106,Escola 106,CE,Juazeiro do Norte,2020,8º Ano EF,14,M,Média,Fundamental Completo,5486,0,1.0,57.9,0,7,Urbano,0.041,76.1,0,
ST000038,S0122,Escola 122,RS,Santa Maria,2018,2º Ano EF,6,F,Baixa,Fundamental Incompleto,979,0,0.792,30.8,0,4,Urbano,0.039,56.4,1,2018-11-15
ST000039,S0144,Escola 144,RJ,Niterói,2020,2º Ano EM,16,M,Baixa,Médio,6807,0,0.787,49.3,0,5,Rural,0.028,72.8,0,
ST000040,S0154,Escola 154,AM,Parintins,2020,6º Ano EF,12,M,Média,Fundamental Incompleto,11920,0,0.969,68.0,0,4,Urbano,0.037,73.5,0,
ST000041,S0030,Escola 30,RS,Pelotas,2024,5º Ano EF,12,F,Média,Superior,3709,1,0.75,80.3,0,4,Urbano,0.05,65.6,0,
ST000042,S0007,Escola 7,MG,Uberlândia,2022,2º Ano EM,16,F,Baixa,Fundamental Completo,2610,0,0.548,44.5,0,4,Urbano,0.044,93.7,1,2022-04-15
ST000043,S0145,Escola 145,SP,Santos,2023,7º Ano EF,12,M,Média,Pós-graduação,5055,0,0.888,79.3,0,4,Urbano,0.084,73.9,0,
ST000044,S0041,Escola 41,BA,Vitória da Conquista,2020,5º Ano EF,7,F,Média,Médio,6777,0,0.994,93.1,0,3,Urbano,0.067,81.1,0,
ST000045,S0173,Escola 173,PA,Castanhal,2018,5º Ano EF,10,M,Baixa,Médio,1409,0,0.829,59.7,0,4,Urbano,0.033,68.8,0,
ST000046,S0029,Escola 29,SP,São Paulo,2020,2º Ano EM,16,F,Média,Médio,9818,0,0.992,72.5,0,4,Urbano,0.058,61.0,0,
ST000047,S0078,Escola 78,PE,Olinda,2019,3º Ano EF,9,F,Baixa,Fundamental Incompleto,5020,0,0.652,68.3,0,3,Urbano,0.08,65.5,1,2019-05-29
ST000048,S0129,Escola 129,RS,Santa Maria,2022,2º Ano EM,12,F,Baixa,Superior,5253,0,0.782,55.9,0,6,Rural,0.087,71.5,1,2022-11-22
ST000049,S0110,Escola 110,MG,Belo Horizonte,2022,7º Ano EF,14,F,Baixa,Fundamental Incompleto,2309,0,0.834,37.3,0,5,Urbano,0.066,68.9,0,
ST000050,S0177,Escola 177,RS,Porto Alegre,2020,2º Ano EF,6,M,Baixa,Médio,3561,0,0.7,33.0,0,6,Urbano,0.028,70.2,0,
ST000051,S0057,Escola 57,MG,Ouro Preto,2020,3º Ano EF,6,M,Média,Médio,4659,0,0.829,80.0,0,4,Rural,0.035,57.4,1,2020-04-16
ST000052,S0061,Escola 61,PR,Foz do Iguaçu,2018,3º Ano EF,6,M,Baixa,Fundamental Incompleto,2959,0,0.772,53.6,0,7,Urbano,0.041,62.8,0,
ST000053,S0119,Escola 119,PR,Maringá,2024,1º Ano EM,13,F,Baixa,Superior,2988,0,0.683,46.1,0,4,Rural,0.082,87.1,1,2024-12-18
ST000054,S0081,Escola 81,SP,São Paulo,2019,8º Ano EF,10,M,Baixa,Fundamental Completo,1969,0,0.724,23.8,0,4,Urbano,0.029,66.7,1,2019-09-20
ST000055,S0010,Escola 10,PR,Curitiba,2018,6º Ano EF,9,F,Baixa,Superior,2511,1,0.662,44.7,0,4,Urbano,0.046,78.1,1,2018-11-11
ST000056,S0190,Escola 190,CE,Sobral,2018,8º Ano EF,11,F,Média,Fundamental Completo,6958,0,0.882,51.6,0,7,Urbano,0.055,47.3,0,
ST000057,S0088,Escola 88,CE,Juazeiro do Norte,2023,2º Ano EF,6,F,Baixa,Fundamental Completo,5015,0,0.835,54.3,0,4,Urbano,0.037,74.9,1,2023-08-10
ST000058,S0073,Escola 73,MG,Juiz de Fora,2021,7º Ano EF,13,F,Média,Fundamental Incompleto,2717,0,0.922,84.5,0,4,Urbano,0.082,69.5,0,
ST000059,S0099,Escola 99,SP,São Paulo,2020,5º Ano EF,9,F,Média,Superior,2770,1,0.758,63.1,0,4,Urbano,0.044,70.1,0,
ST000060,S0090,Escola 90,PE,Petrolina,2020,2º Ano EM,15,F,Baixa,Médio,2146,1,0.596,38.2,0,4,Urbano,0.08,77.7,1,2020-04-06
ST000061,S0172,Escola 172,PA,Belém,2023,3º Ano EM,20,O,Alta,Fundamental Incompleto,13753,0,0.919,100.0,0,2,Urbano,0.06,57.8,0,
ST000062,S0055,Escola 55,RJ,Rio de Janeiro,2020,8º Ano EF,17,M,Alta,Fundamental Incompleto,14894,0,0.889,100.0,0,4,Urbano,0.058,85.5,0,
ST000063,S0190,Escola 190,CE,Sobral,2022,1º Ano EF,6,F,Alta,Médio,3534,0,0.985,100.0,0,3,Urbano,0.055,47.3,0,
ST000064,S0160,Escola 160,BA,Ilhéus,2024,3º Ano EF,8,F,Baixa,Fundamental Completo,2384,0,0.695,54.4,1,4,Urbano,0.073,79.8,1,2024-09-17
ST000065,S0060,Escola 60,RS,Santa Maria,2022,4º Ano EF,7,M,Média,Médio,3669,0,0.879,57.0,0,6,Rural,0.071,84.6,1,2022-09-25
ST000066,S0197,Escola 197,RJ,Petrópolis,2020,7º Ano EF,7,F,Baixa,Fundamental Incompleto,3330,0,0.747,56.7,0,6,Urbano,0.043,56.7,0,
ST000067,S0124,Escola 124,PR,Curitiba,2024,6º Ano EF,9,F,Baixa,Superior,3475,1,0.705,33.3,0,5,Urbano,0.036,49.0,0,
ST000068,S0132,Escola 132,CE,Juazeiro do Norte,2019,7º Ano EF,15,M,Alta,Superior,21413,1,0.935,56.6,0,4,Urbano,0.084,71.0,0,
ST000069,S0096,Escola 96,RS,Pelotas,2019,7º Ano EF,10,O,Baixa,Fundamental Incompleto,748,1,0.556,48.7,0,4,Urbano,0.048,48.0,1,2019-04-12
ST000070,S0010,Escola 10,PR,Curitiba,2020,8º Ano EF,10,F,Baixa,Médio,3564,0,0.64,62.0,0,3,Urbano,0.046,78.1,1,2020-04-17
ST000071,S0141,Escola 141,SP,Campinas,2023,1º Ano EM,13,F,Baixa,Fundamental Completo,2272,0,0.66,52.2,0,4,Urbano,0.053,73.4,1,2023-09-23
ST000072,S0017,Escola 17,BA,Feira de Santana,2018,8º Ano EF,11,F,Baixa,Médio,3485,0,0.797,69.6,0,4,Urbano,0.039,54.8,0,
ST000073,S0062,Escola 62,SP,São Paulo,2022,7º Ano EF,7,M,Média,Médio,3047,0,0.96,67.0,1,4,Urbano,0.024,67.2,0,
ST000074,S0130,Escola 130,CE,Juazeiro do Norte,2022,1º Ano EF,6,M,Média,Médio,5186,1,0.904,83.7,0,2,Urbano,0.039,62.4,0,
ST000075,S0089,Escola 89,MG,Uberlândia,2019,3º Ano EM,17,F,Baixa,Médio,1725,0,0.686,51.5,0,4,Urbano,0.022,62.1,1,2019-05-01
ST000076,S0200,Escola 200,PA,Belém,2023,8º Ano EF,13,O,Média,Fundamental Completo,9145,0,0.765,75.4,0,6,Urbano,0.043,52.9,0,
ST000077,S0052,Escola 52,RJ,Niterói,2018,4º Ano EF,11,F,Baixa,Fundamental Completo,1729,0,0.577,42.9,0,4,Urbano,0.058,64.2,1,2018-05-09
ST000078,S0074,Escola 74,PE,Caruaru,2020,1º Ano EF,7,F,Baixa,Fundamental Incompleto,1331,0,0.609,58.2,0,5,Rural,0.078,93.5,0,
ST000079,S0099,Escola 99,SP,São Paulo,2020,3º Ano EF,9,F,Média,Superior,1304,0,0.936,81.6,0,5,Urbano,0.044,70.1,1,2020-12-05
ST000080,S0047,Escola 47,PA,Santarém,2022,5º Ano EF,10,M,Baixa,Médio,3107,0,0.659,52.0,0,4,Urbano,0.071,63.1,0,
ST000081,S0090,Escola 90,PE,Petrolina,2021,1º Ano EF,7,F,Alta,Médio,31648,0,0.933,81.7,0,5,Urbano,0.08,77.7,0,
ST000082,S0172,Escola 172,PA,Belém,2023,7º Ano EF,10,M,Média,Médio,3010,1,0.976,66.0,0,4,Urbano,0.06,57.8,0,
ST000083,S0009,Escola 9,AM,Parintins,2019,2º Ano EF,8,M,Média,Fundamental Completo,3619,1,0.851,45.3,0,3,Urbano,0.071,63.0,0,
ST000084,S0095,Escola 95,PE,Caruaru,2020,8º Ano EF,12,F,Média,Médio,3528,0,0.987,84.6,0,3,Urbano,0.088,64.1,0,
ST000085,S0189,Escola 189,RS,Santa Maria,2019,8º Ano EF,13,F,Alta,Fundamental Incompleto,24986,0,0.866,59.3,0,3,Urbano,0.068,57.3,0,
ST000086,S0178,Escola 178,CE,Juazeiro do Norte,2021,4º Ano EF,9,M,Alta,Médio,13378,1,0.808,33.1,0,3,Urbano,0.047,91.8,0,
ST000087,S0082,Escola 82,RS,Caxias do Sul,2023,6º Ano EF,11,F,Média,Fundamental Completo,2502,0,1.0,71.9,0,5,Urbano,0.059,75.4,1,2023-05-01
ST000088,S0093,Escola 93,PA,Marabá,2022,4º Ano EF,12,M,Baixa,Fundamental Incompleto,3147,0,0.735,64.6,0,4,Urbano,0.076,59.5,1,2022-11-10
ST000089,S0034,Escola 34,PR,Curitiba,2022,2º Ano EF,10,M,Baixa,Médio,4951,0,0.832,50.3,0,4,Urbano,0.054,54.1,0,
ST000090,S0033,Escola 33,RS,Caxias do Sul,2020,2º Ano EM,15,M,Média,Médio,7853,0,1.0,77.9,0,4,Urbano,0.073,69.8,0,
ST000091,S0197,Escola 197,RJ,Petrópolis,2019,7º Ano EF,11,F,Alta,Superior,6272,0,0.849,53.2,0,3,Rural,0.043,56.7,0,
ST000092,S0058,Escola 58,CE,Fortaleza,2020,9º Ano EF,13,F,Média,Fundamental Completo,7164,0,1.0,57.7,0,3,Urbano,0.02,65.4,0,
ST000093,S0137,Escola 137,CE,Sobral,2018,9º Ano EF,13,F,Média,Médio,1994,0,0.903,65.9,0,6,Urbano,0.078,58.3,0,
ST000094,S0145,Escola 145,SP,Santos,2018,1º Ano EF,7,M,Alta,Superior,7374,0,0.996,50.3,0,4,Urbano,0.084,73.9,0,
ST000095,S0008,Escola 8,RJ,Petrópolis,2021,2º Ano EM,15,F,Média,Fundamental Completo,2530,0,1.0,70.9,0,4,Urbano,0.079,81.5,1,2021-03-03
ST000096,S0041,Escola 41,BA,Vitória da Conquista,2021,7º Ano EF,10,M,Baixa,Médio,3310,0,0.712,60.3,0,5,Rural,0.067,81.1,1,2021-08-24
ST000097,S0034,Escola 34,PR,Curitiba,2024,6º Ano EF,10,F,Baixa,Fundamental Completo,1594,0,0.67,59.6,0,3,Urbano,0.054,54.1,0,
ST000098,S0099,Escola 99,SP,São Paulo,2024,1º Ano EM,17,M,Alta,Superior,1643,0,0.775,59.4,0,5,Urbano,0.044,70.1,0,
ST000099,S0041,Escola 41,BA,Vitória da Conquista,2021,9º Ano EF,13,M,Alta,Médio,6484,0,0.821,66.3,0,4,Urbano,0.067,81.1,0,
ST000100,S0150,Escola 150,RJ,Campos,2020,1º Ano EF,6,M,Média,Superior,4714,0,0.954,58.4,0,4,Rural,0.049,74.5,0,
ST000101,S0111,Escola 111,AM,Parintins,2019,5º Ano EF,11,F,Média,Fundamental Completo,2496,0,0.883,77.3,0,3,Urbano,0.087,41.2,0,
ST000102,S0019,Escola 19,SP,Campinas,2021,9º Ano EF,13,M,Média,Superior,4283,0,0.977,55.9,0,3,Urbano,0.076,56.4,0,
ST000103,S0096,Escola 96,RS,Pelotas,2024,6º Ano EF,10,F,Baixa,Fundamental Incompleto,4428,0,0.644,67.2,0,2,Urbano,0.048,48.0,1,2024-07-20
ST000104,S0122,Escola 122,RS,Santa Maria,2022,8º Ano EF,9,M,Alta,Fundamental Incompleto,23361,1,0.783,55.8,0,4,Urbano,0.039,56.4,0,
ST000105,S0077,Escola 77,PR,Londrina,2022,6º Ano EF,8,F,Média,Médio,7070,0,0.83,96.3,0,2,Urbano,0.062,71.3,0,
ST000106,S0029,Escola 29,SP,São Paulo,2021,1º Ano EM,11,M,Alta,Superior,5843,0,0.988,77.5,0,4,Urbano,0.058,61.0,0,
ST000107,S0199,Escola 199,RS,Santa Maria,2022,1º Ano EM,14,M,Baixa,Médio,2134,0,0.742,32.3,0,5,Urbano,0.059,70.9,1,2022-06-05
ST000108,S0009,Escola 9,AM,Parintins,2022,3º Ano EM,15,M,Baixa,Fundamental Completo,1718,0,0.63,59.5,0,4,Urbano,0.071,63.0,1,2022-09-30
ST000109,S0189,Escola 189,RS,Santa Maria,2023,1º Ano EF,6,F,Média,Médio,2733,1,0.899,34.5,0,4,Rural,0.068,57.3,0,
ST000110,S0118,Escola 118,RJ,Petrópolis,2022,6º Ano EF,10,F,Média,Superior,6742,0,1.0,93.6,0,4,Urbano,0.053,52.5,0,
ST000111,S0064,Escola 64,MG,Belo Horizonte,2020,9º Ano EF,10,M,Alta,Sem escolaridade,3760,0,0.876,78.4,0,5,Urbano,0.026,52.1,0,
ST000112,S0123,Escola 123,RJ,Campos,2020,9º Ano EF,13,F,Média,Fundamental Completo,5537,0,0.82,78.7,0,4,Rural,0.044,91.0,0,
ST000113,S0089,Escola 89,MG,Uberlândia,2024,3º Ano EF,6,M,Baixa,Médio,981,0,0.652,73.8,0,4,Urbano,0.022,62.1,0,
ST000114,S0052,Escola 52,RJ,Niterói,2024,9º Ano EF,17,M,Média,Fundamental Completo,4094,0,0.927,72.7,0,3,Urbano,0.058,64.2,0,
ST000115,S0136,Escola 136,BA,Ilhéus,2019,2º Ano EM,14,M,Baixa,Fundamental Completo,2376,0,0.899,56.6,0,3,Rural,0.073,93.2,1,2019-04-22
ST000116,S0105,Escola 105,RS,Caxias do Sul,2023,8º Ano EF,12,M,Baixa,Pós-graduação,2554,0,0.733,53.0,0,6,Urbano,0.067,67.6,1,2023-11-21
ST000117,S0060,Escola 60,RS,Santa Maria,2022,3º Ano EM,15,F,Alta,Superior,24040,0,0.97,69.6,0,3,Rural,0.071,84.6,0,
ST000118,S0102,Escola 102,SP,Campinas,2024,8º Ano EF,11,M,Média,Superior,8584,0,0.797,87.2,0,4,Urbano,0.025,63.7,0,
ST000119,S0086,Escola 86,SP,Santos,2020,8º Ano EF,12,O,Média,Médio,7132,1,0.882,40.0,0,4,Urbano,0.037,62.5,0,
ST000120,S0029,Escola 29,SP,São Paulo,2020,3º Ano EF,9,F,Média,Médio,7124,0,1.0,85.9,0,4,Urbano,0.058,61.0,0,
ST000121,S0050,Escola 50,PE,Petrolina,2019,1º Ano EM,14,F,Alta,Superior,2991,0,0.95,81.1,0,5,Urbano,0.08,43.6,0,
ST000122,S0036,Escola 36,RS,Caxias do Sul,2021,6º Ano EF,12,F,Baixa,Fundamental Completo,2393,0,0.751,54.8,0,4,Urbano,0.081,51.7,0,
ST000123,S0147,Escola 147,AM,Manacapuru,2018,5º Ano EF,9,F,Média,Fundamental Incompleto,7398,0,0.922,70.4,0,4,Urbano,0.074,51.4,0,
ST000124,S0181,Escola 181,BA,Feira de Santana,2024,5º Ano EF,7,F,Média,Pós-graduação,6638,0,0.847,89.2,0,7,Urbano,0.026,79.4,0,
ST000125,S0117,Escola 117,PR,Foz do Iguaçu,2023,1º Ano EM,14,M,Média,Superior,3775,0,1.0,72.9,0,5,Urbano,0.037,69.5,0,
ST000126,S0175,Escola 175,RJ,Petrópolis,2024,1º Ano EM,16,F,Baixa,Médio,2617,0,0.626,66.8,0,4,Urbano,0.06,74.2,1,2024-11-07
ST000127,S0130,Escola 130,CE,Juazeiro do Norte,2019,1º Ano EM,15,F,Baixa,Superior,4185,0,0.684,79.1,0,5,Urbano,0.039,62.4,1,2019-10-20
ST000128,S0115,Escola 115,BA,Ilhéus,2024,1º Ano EF,7,M,Média,Médio,5933,0,0.802,43.6,0,5,Urbano,0.037,67.1,0,
ST000129,S0102,Escola 102,SP,Campinas,2020,1º Ano EF,6,F,Média,Fundamental Incompleto,4150,0,0.826,56.2,0,7,Rural,0.025,63.7,0,
ST000130,S0018,Escola 18,PR,Londrina,2021,1º Ano EF,6,M,Baixa,Fundamental Incompleto,1070,0,0.645,68.2,0,7,Urbano,0.079,74.7,0,
ST000131,S0098,Escola 98,RS,Caxias do Sul,2021,7º Ano EF,13,M,Média,Médio,4323,0,0.917,80.1,0,4,Urbano,0.089,73.9,0,
ST000132,S0138,Escola 138,RS,Porto Alegre,2021,9º Ano EF,16,M,Alta,Superior,21433,0,0.81,79.1,1,4,Urbano,0.072,65.2,0,
ST000133,S0109,Escola 109,BA,Ilhéus,2022,7º Ano EF,10,F,Baixa,Fundamental Completo,1582,0,0.675,75.8,0,5,Urbano,0.087,73.9,1,2022-09-03
ST000134,S0158,Escola 158,RS,Pelotas,2024,1º Ano EF,6,M,Baixa,Médio,1092,0,0.776,73.7,0,6,Urbano,0.062,77.1,1,2024-02-23
ST000135,S0103,Escola 103,PE,Caruaru,2021,4º Ano EF,8,F,Média,Superior,7185,0,0.934,47.3,1,3,Rural,0.029,64.9,0,
ST000136,S0148,Escola 148,AM,Manaus,2020,1º Ano EM,13,F,Média,Fundamental Completo,5425,0,0.895,78.8,0,5,Urbano,0.06,50.2,0,
ST000137,S0077,Escola 77,PR,Londrina,2020,1º Ano EF,6,F,Média,Superior,6007,0,0.966,100.0,0,4,Urbano,0.062,71.3,0,
ST000138,S0089,Escola 89,MG,Uberlândia,2023,2º Ano EM,12,M,Média,Médio,2311,0,0.982,55.7,0,3,Urbano,0.022,62.1,0,
ST000139,S0062,Escola 62,SP,São Paulo,2024,4º Ano EF,8,M,Média,Superior,5621,1,0.869,77.8,0,7,Urbano,0.024,67.2,0,
ST000140,S0035,Escola 35,RJ,Campos,2021,4º Ano EF,11,M,Baixa,Fundamental Incompleto,2713,0,0.813,41.0,0,4,Rural,0.078,82.3,1,2021-02-27
ST000141,S0069,Escola 69,PE,Olinda,2021,2º Ano EM,17,F,Baixa,Fundamental Incompleto,1780,0,0.761,74.6,0,5,Urbano,0.029,75.4,0,
ST000142,S0054,Escola 54,RJ,Petrópolis,2024,6º Ano EF,11,M,Alta,Fundamental Completo,12444,0,0.955,90.9,0,5,Urbano,0.08,79.2,0,
ST000143,S0063,Escola 63,AM,Itacoatiara,2023,1º Ano EM,17,F,Baixa,Fundamental Completo,3259,0,0.708,60.2,0,4,Urbano,0.08,53.4,1,2023-07-08
ST000144,S0067,Escola 67,BA,Salvador,2020,9º Ano EF,12,F,Média,Superior,6614,0,0.949,76.0,0,4,Urbano,0.049,68.9,0,
ST000145,S0081,Escola 81,SP,São Paulo,2021,1º Ano EF,6,F,Baixa,Fundamental Incompleto,2271,0,0.625,69.2,0,4,Urbano,0.029,66.7,0,
ST000146,S0040,Escola 40,CE,Juazeiro do Norte,2019,6º Ano EF,13,M,Média,Fundamental Completo,5587,0,0.939,64.0,0,4,Urbano,0.073,73.0,0,
ST000147,S0126,Escola 126,PR,Foz do Iguaçu,2023,2º Ano EM,15,F,Média,Superior,5810,0,0.963,72.8,0,4,Urbano,0.034,100.0,0,
ST000148,S0139,Escola 139,SP,Santos,2023,1º Ano EF,6,F,Média,Fundamental Incompleto,6280,0,0.907,63.9,0,2,Urbano,0.025,82.2,0,
ST000149,S0162,Escola 162,RS,Caxias do Sul,2019,2º Ano EF,7,F,Baixa,Médio,1451,0,0.804,35.2,0,5,Urbano,0.037,81.8,1,2019-10-06
ST000150,S0169,Escola 169,RS,Caxias do Sul,2021,1º Ano EF,6,M,Média,Fundamental Incompleto,3585,0,0.911,39.5,0,7,Urbano,0.041,66.3,0,
ST000151,S0179,Escola 179,PA,Marabá,2023,7º Ano EF,11,F,Alta,Fundamental Incompleto,25052,0,0.819,45.0,0,3,Urbano,0.089,66.0,0,
ST000152,S0091,Escola 91,BA,Vitória da Conquista,2020,7º Ano EF,13,M,Alta,Médio,14653,0,0.999,97.7,0,4,Rural,0.069,71.5,0,
ST000153,S0021,Escola 21,AM,Parintins,2023,2º Ano EM,17,F,Baixa,Fundamental Completo,2081,0,0.849,41.9,0,2,Urbano,0.055,92.0,1,2023-10-14
ST000154,S0112,Escola 112,BA,Vitória da Conquista,2023,6º Ano EF,12,F,Alta,Fundamental Incompleto,7159,0,0.87,68.0,0,3,Rural,0.034,69.6,1,2023-11-18
ST000155,S0122,Escola 122,RS,Santa Maria,2020,1º Ano EF,6,F,Média,Fundamental Completo,11687,0,0.914,86.8,0,3,Rural,0.039,56.4,0,
ST000156,S0005,Escola 5,PR,Foz do Iguaçu,2019,1º Ano EM,15,M,Média,Superior,4281,1,0.92,70.8,0,4,Urbano,0.061,66.5,0,
ST000157,S0100,Escola 100,PE,Petrolina,2023,9º Ano EF,15,M,Média,Fundamental Incompleto,10911,1,0.884,70.6,0,4,Rural,0.056,66.5,0,
ST000158,S0014,Escola 14,RJ,Petrópolis,2018,7º Ano EF,10,M,Baixa,Médio,2143,0,0.746,46.6,0,7,Urbano,0.064,41.3,1,2018-06-20
ST000159,S0116,Escola 116,SP,São Paulo,2021,4º Ano EF,8,M,Alta,Médio,3434,0,0.929,67.8,0,3,Urbano,0.035,74.5,0,
ST000160,S0064,Escola 64,MG,Belo Horizonte,2023,2º Ano EF,6,M,Baixa,Médio,4014,0,0.701,57.6,0,4,Urbano,0.026,52.1,1,2023-02-03
ST000161,S0079,Escola 79,PR,Foz do Iguaçu,2021,6º Ano EF,10,F,Baixa,Fundamental Incompleto,516,0,0.609,69.4,0,4,Urbano,0.084,71.4,0,
